range,enf_p,enf_t
18,229.88,181.93
23,288.01,221.79
28,288.01,227.93
33,320.01,253.25
38,330.70,261.71
43,363.77,287.88
48,517.90,409.85
53,528.62,415.96
58,666.33,527.31
59,1026.15,812.06
