range,enf_p,enf_t
18,153.49,115.13
23,207.18,155.40
28,244.85,183.65
33,244.85,183.65
38,244.85,183.65
43,290.81,218.12
48,378.05,283.56
53,491.47,368.63
58,638.91,479.22
59,920.86,690.70
