range,enf_p,enf_t
18,225.82,169.35
23,304.81,228.59
28,360.22,270.15
33,360.22,270.15
38,360.22,270.15
43,427.83,320.86
48,556.18,417.12
53,723.03,542.26
58,939.94,704.94
59,1354.74,1016.03
