range,enf_p,enf_t
18,179.49,134.63
23,242.28,181.72
28,286.33,214.76
33,286.33,214.76
38,286.33,214.76
43,340.07,255.07
48,442.09,331.59
53,574.72,431.07
58,747.14,560.39
1000,1076.85,807.69
